date,startup,vertical,subvertical,city,investors,round,amount,month,year
2015-03-10,Qik Stay,Hotel Aggregator & booking platform,,New Delhi,ID Enablers Pvt Ltd,Seed Funding,0.41585,March,2015
2015-06-10,Parcelled,Online Logistics Platform,,Bangalore,Delhivery,Private Equity,41.585,June,2015
2015-06-10,AlmaMapper,Online Student & Campus Social Networking platform,,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding,3.3268,June,2015
2015-06-10,Flexing It,Professionals & Project Search Marketplace,,New Delhi,undisclosed private investors,Seed Funding,4.1585,June,2015
2015-06-10,Netmeds,Online Pharmacy,,Chennai,"OrbiMed, Pradip Dadha Group",Private Equity,415.85,June,2015
2015-06-10,Razorpay,Online Payment Gateway,,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,74.853,June,2015
2015-07-10,Happitoo,Location based Nightlife recommendation\\xc2\\xa0 Platform,,Mumbai,Unnamed investor,Seed Funding,0.640409,July,2015
2015-07-10,Care24,Professional Health Services Platform,,Mumbai,India Quotient,Seed Funding,2.91095,July,2015
2015-07-10,Roadrunnr,Hyperlocal Logistics Service,,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,83.17,July,2015
2015-08-10,ORIGA Leasing,Asset Financing platform,,Mumbai,"h! Ventures, 500 Startups & Other HNIs",Seed Funding,9.1487,August,2015
2015-08-10,Smartivity,Virtual Reality activity based learning platform,,New Delhi,S Chand and Co Pvt Ltd,Seed Funding,0.0,August,2015
2015-09-10,ZopHop,Public Commute helper App,,Mumbai,"Amit Singhal, PK Gulati & others",Seed Funding,3.74265,September,2015
2015-10-30,LiftO,Ridesharing Mobile app,,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,1.08121,October,2015
2015-10-30,TinyOwl,Food Discovery & Delivery Mobile app,,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,62.3775,October,2015
2015-10-30,Toppr,Competitive exam learning platform,,Mumbai,InnoVen Capital,Private Equity,0.0,October,2015
2015-10-30,Kleeto,Document Digitization platform,,Gurgaon,GREX,Seed Funding,0.24951,October,2015
2015-10-30,BeaconsTalk,proximity marketing & Mobile Advertising platform,,Mumbai,Puneet Bhatia & others,Seed Funding,0.66536,October,2015
2015-10-31,Jugnoo,Autorickshaw Aggregator & Booking platform,,Chandigarh,Paytm,Private Equity,83.17,October,2015
2015-01-09,TOFlo,FinTech Startup Incubation platform,,Mumbai,Tania Johny Palathinkal,Seed Funding,0.8317,January,2015
2015-01-09,Stylecracker,Personalized Styling platform,,Mumbai,Group of HNI investors,Private Equity,8.317,January,2015
2015-01-09,Luxuryhues,Luxury goods\\xc2\\xa0 Shopping Platform,,Gurgaon,Reliance Capital,Private Equity,7.4853,January,2015
2015-09-01,Zivam,Online Lingerie Marketplace,,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,332.68,September,2015
2015-09-01,Capillary Tech,Cloud software solutions,,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,374.265,September,2015
2015-03-09,Jobspir,Job Search Platform,,Bangalore,Purvi Capital,Seed Funding,0.49902,March,2015
2015-03-09,Vistaar Financ,Small Business Financing (NBFC),,Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,xc2xa0 Lok Capital",Private Equity,332.68,March,2015
2015-04-09,Clapsnslaps,Online Movie Review Platform,,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,1.24755,April,2015
2015-04-09,Blubo,ECommerce Brands\\xe2\\x80\\x99 Full Service Agency,,Mumbai,Ashish Jhalani,Seed Funding,0.8317,April,2015
2015-04-09,RoomCentral,Cloud-based Hotel Booking Platform,,Bangalore,Karanpal Singh,Seed Funding,0.0,April,2015
2015-07-09,YouthKiAwaaz,Community Driven News/Views Platform,,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,4.9902,July,2015
2015-07-09,Prozo,Study Material Marketplace,,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,0.041585,July,2015
2015-07-09,Zomato,Restaurant Ratings & Reviews platform,,Gurgaon,"Temasek, Vy Capital",Private Equity,499.02,July,2015
2015-07-09,Sahayog Dairy,Dairy Based Product Manufacturer,,Bhopal,Acumen Fund,Private Equity,14.9706,July,2015
2015-08-09,MockBank,Government Test Preparation platform,,Bangalore,Blume Ventures,Seed Funding,3.3268,August,2015
2015-10-09,OnlineTyari,Multilingual Test Preparation Platform,,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,6.40409,October,2015
2015-10-09,IndustryBuying,Industrial Tools Marketplace,,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,76.5164,October,2015
2015-10-09,The/Nudge Foundation,Non Profit Organization to alleviate poverty,,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,2.619855,October,2015
2015-11-09,FitMeIn,Gym & Fitness Studios Subscription platform,,New Delhi,Green House Ventures,Seed Funding,0.8317,November,2015
2015-12-09,CredR,Used Vehicles Marketplace,,Mumbai,Eight Road Ventures,Private Equity,124.755,December,2015
2015-09-14,CanvasFlip,Mobile App testing platform,,Hyderabad,Bessemer Venture Partners,Seed Funding,9.9804,September,2015
2015-09-14,Shadowfa,Hyperlocal Delivery Services,,Gurgaon,Eight Roads Ventures,Private Equity,74.853,September,2015
2015-09-14,UE Life Sciences,Early Cancer Detection Solutions,,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,24.951,September,2015
2015-09-14,Ola Cabs,Cab rental Mobile app,,Bangalore,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,41.585,September,2015
2015-09-15,Coverfo,Online Insurance Distribution Platform,,Mumbai,Cataraman Ventures,Private Equity,0.0,September,2015
2015-09-15,MoEngag,Mobile Marketing Automation Platform,,Bangalore,"Helion Venture Partners, Exfinity Ventures",Private Equity,35.34725,September,2015
2015-09-15,Tea Trails,Chain of Tea Caf\\xc3\\xa9\\xe2\\x80\\x99s,,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding,8.317,September,2015
2015-09-15,Room on Call,Branded Budget Hotel Marketplace,,Noida,Payal Syal,Seed Funding,2.4951,September,2015
2015-09-16,ChaiPoint,Food Subscription platform,,Bangalore,Eight Roads Ventures,Private Equity,83.17,September,2015
2015-09-16,WedmeGood,Wedding Planning Platform,,Gurgaon,Indian Angel Network,Seed Funding,3.40997,September,2015
2015-09-16,XSTOK,B2B Mobile Auction Marketplace,,Mumbai,Oliphans Capital,Seed Funding,3.74265,September,2015
2015-09-17,YepM,Private label Fashion eTailer,,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,623.775,September,2015
2015-09-17,Bueno,Online Food ordering & delivery,,Gurgaon,High Networth Individuals (No details),Seed Funding,4.9902,September,2015
2015-09-18,Plabro,Real Estate Broker Platform App,,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,2.91095,September,2015
2015-09-18,CureJoy,Online Health & Wellness platform,,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,9.56455,September,2015
2015-09-18,Briston Technomach,Internet of Things platform,,New Delhi,Undisclosed,Seed Funding,1.24755,September,2015
2015-09-18,LabStreet,Diagnostic Labs aggregator platform,,Gurgaon,Multiple investors,Seed Funding,1.24755,September,2015
2015-01-09,Portea Medical,Home Medical Care Services,,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,311.8875,January,2015
2015-01-09,Neotrade Analytics,Real-Time stock data platform,,Bangalore,Rainmatter,Seed Funding,0.291095,January,2015
2015-01-09,LafaLafa,oupons and cashback aggregator app,,Mumbai,500 Startups,Seed Funding,1.039625,January,2015
2015-09-01,Bestdealfinanc,Financial Services Portal,,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,24.951,September,2015
2015-09-01,Virtual Logic,"virtual reality, 3d simulation and stereoscopic products",,Bangalore,Swarnim Multiventures,Private Equity,6.6536,September,2015
2015-09-01,Furdo,Online Interior Designing platform,,Bangalore,Bhavdeep Reddy,Seed Funding,3.3268,September,2015
2015-09-01,LogiNext,End-to-end Logistics platform,,Mumbai,Paytm,Private Equity,83.17,September,2015
2015-09-01,Korra,Private Label Apparel sales,,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,2.4951,September,2015
2015-03-09,SilverPush,Cross-device retargeting platform,,Gurgaon / SFO,M&S Partners,Private Equity,9.9804,March,2015
2015-03-09,Juggernaut,Digital & Physical Publishing platform,,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,0.41585,March,2015
2015-03-09,InnerChef,Food Delivery Platform,,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",Private Equity,14.55475,March,2015
2015-04-09,Quintyp,Data Driven Publishing platform,,Bangalore,Raghav Bahl,Private Equity,27.4461,April,2015
2015-04-09,Capabiliti,Employee OnBoarding & Orientation platform,,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,3.3268,April,2015
2015-04-09,Fourth Partner Energy,Solar Power Solutions company,,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,0.0,April,2015
2015-04-09,Licious,Online Meat Ordering platform,,Bangalore,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,8.317,April,2015
2015-08-09,Ola Cabs,Cab Booking app platform,,Bangalore,Didi Kuaidi,Private Equity,249.51,August,2015
2015-09-09,Paytm,E-Commerce & M-Commerce platform,,New Delhi,"Alibaba Group, Ant Financial",Private Equity,5655.56,September,2015
2015-09-09,Inmobi,Mobile Advertising platform,,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,831.7,September,2015
2015-09-09,Peppertap,Hyperlocal Grocery Delivery,,Gurgaon,"Sequoia India, SAIF Partners.",Private Equity,299.412,September,2015
2015-09-09,Zakoopi,Fashion Discovery platform,,New Delhi,Uniqorn Ventures,Seed Funding,2.91095,September,2015
2015-09-30,Infoworks,Big Data Management Platform,,Bangalore / USA,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,41.585,September,2015
2015-09-30,RedDoorz,Budget Accommodation Platform,,Noida,Jungle Ventures,Seed Funding,8.317,September,2015
2015-09-30,Eywa Media,Digital Signal processing platform,,Bangalore,"h! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Seed Funding,8.317,September,2015
2015-01-08,Snapdeal,Ecommerce Marketplace,,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,4158.5,January,2015
2015-01-08,Ressy,Restaurant Discount app,,Pune,Mohandas Pai & others,Seed Funding,3.3268,January,2015
2015-03-08,Connect India,ECommerce Logistics provider,,New Delhi,Aavishkaar,Private Equity,41.585,March,2015
2015-03-08,Oyorooms,Budget Hotel accommodation brand,,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital,xc2xa0 Lightspeed India",Private Equity,831.7,March,2015
2015-03-08,Wizrocket,User Engagment & Analytics platform,,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,79.8432,March,2015
2015-04-08,Pickingo,On-Demand Delivery Logistics,,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,10.8121,April,2015
2015-05-08,Gr,fund raising platform for startups,,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,5.40605,May,2015
2015-05-08,LetsTransport,Logistics Tech Platform,,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,10.8121,May,2015
2015-05-08,Zo Rooms,Online budget hotel chain,,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,249.51,May,2015
2015-05-08,Doormint,Hyperlocal Handyman services,,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,24.951,May,2015
2015-05-08,NightStay,hotel booking app,,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,4.1585,May,2015
2015-05-08,Sunday Realty Solutions,Tech Platform for property brokers,,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,6.528845,May,2015
2015-06-08,Appvigil,App security\\xc2\\xa0 testing platform,,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,4.1585,June,2015
2015-06-08,practo,Doctor Appointment booking app,,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,748.53,June,2015
2015-06-08,Ketto,Crowd funding platform,,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,5.8219,June,2015
2015-06-08,Ezetap,Mobile based PoS solution,,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,41.585,June,2015
2015-07-08,Carlxe2x80x99s Jr,Fast food Chain Franchisee,,Gurgaon,YouWeCan Ventures,Seed Funding,5.23971,July,2015
2015-07-08,EasyRewardz,Loyalty Programs & Reward Points,,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,4.1585,July,2015
2015-10-08,MyTaxiIndia,Taxi Rental platform,,Gurgaon,"Nihon Kotsu,",Private Equity,4.1585,October,2015
2015-10-08,Sadar,ecommerce,,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,0.66536,October,2015
2015-10-08,MyPoolin,mobile social network,,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,0.41585,October,2015
2015-10-08,NearBuy (previouslyxc2xa0 groupon India),Hyper-Local Ecommerce,,New Delhi,Sequoia Capital,Private Equity,133.072,October,2015
2015-10-08,Inkmonk,Online printing marketplace,,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding,0.41585,October,2015
2015-10-08,ToneTag,mobile payment software platform,,Bangalore,Reliance Capital Venture,Private Equity,8.317,October,2015
2015-10-08,Grey Orang,Automated Storage & Warehousing Solution,,Gurgaon,Tiger Global Management,Private Equity,249.51,October,2015
2015-11-08,Livspac,Home Design & D\\xc3\\xa9cor solutions,,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,66.536,November,2015
2015-11-08,WOW! MOMO,Quick Service Restaurant Chain,,Kolkata,Indian Angel Network,Seed Funding,13.3072,November,2015
2015-11-08,RainCan,Subscription based Online Grocery platform,,Pune,Ajeet Khurana & Others,Seed Funding,0.8317,November,2015
2015-11-08,Allygrow Technologies,engineering services company,,Mumbai,Zodius Technology Fund,Private Equity,0.0,November,2015
2015-11-08,Infogain,Business and IT consulting,,New Delhi / US,ChrysCapital,Private Equity,523.971,November,2015
2015-12-08,OneAssist,Credit Card Fraud protection solutions,,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,62.3775,December,2015
2015-12-08,BigBasket,Online & mobile Grocery store,,Bangalore,Bessemer Venture Partners,Private Equity,415.85,December,2015
2015-12-08,Sheroes,Career Community for Women,,Noida,"Quintillion Media, 500 Startups",Seed Funding,6.40409,December,2015
2015-12-08,Scripbo,Mutual Fund Investing platform,,Bangalore,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,4.1585,December,2015
2015-08-13,taout,Ecommerce Marketing Software Platform,,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &xc2xa0 Group of other Angel investors",Seed Funding,4.1585,August,2015
2015-08-13,IFMR Holdings,Financial Inclusion platform,,Chennai,"Accion, LeapFrog Investments, Lok Capital",Private Equity,41.585,August,2015
2015-08-13,Agrostar,Mobile Commerce for Farmers,,Pune,IDG Ventures,Private Equity,33.268,August,2015
2015-08-14,VoxWeb,Picture based Social App,,Mumbai,Jitendra Gupta & others,Seed Funding,0.8317,August,2015
2015-08-14,Trukky,Logistics service platform,,Ahmedabad,"Gujarat based angel investors, MMY co-Founder",Seed Funding,0.374265,August,2015
2015-08-17,Edu4Shar,Exam Preparation Platform,,New Delhi,Nalin Jain & other angel investors,Seed Funding,0.16634,August,2015
2015-08-17,Sampurnearth,Waste Management Solutions,,Mumbai,"Intellecap Impact Investment Network, family office fund",Seed Funding,1.33072,August,2015
2015-08-17,ShadowFa,on-demand delivery service,,Gurgaon,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",Seed Funding,2.57827,August,2015
2015-08-18,Roposo,Fashion Discovery platform,,Gurgaon,Tiger Global,Private Equity,124.755,August,2015
2015-08-18,IntelligenceNODE,Data Analytics Platform,,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,34.9314,August,2015
2015-08-18,HyperVerg,Deep Learning Cloud Algorithms,,Chennai,"NEA, Milliways Ventures, Naya Ventures",Seed Funding,8.317,August,2015
2015-08-18,Zoojoo.b,Corporate Wellness App,,Bangalore,RoundGlass Partners,Private Equity,8.317,August,2015
2015-08-19,TimeSaverz,"Hyperlocal Maintenance, Repair & Cleaning services",,Mumbai,Unilazer Ventures,Private Equity,3.3268,August,2015
2015-08-19,MebelKart,Online Furniture Marketplace,,Bangalore,AskMe,Private Equity,0.0,August,2015
2015-08-01,LabsAdvisor,Online Diagnostic Tests Marketplace,,New Delhi,Group of Angel Investors,Seed Funding,1.297452,August,2015
2015-08-01,Flatpebbl,Online marketplace for Photographers,,Hyderabad,Indian Angel Network,Seed Funding,4.9902,August,2015
2015-08-01,Bluegap,Visual Blogging platform,,New Delhi,"h! Ventures, Times Internet, Rudy Gopalakrishnan",Seed Funding,4.9902,August,2015
2015-01-08,Pois,Job Search Platform,,Bangalore,"Orios Venture Partners, Amit Ranjan & others",Seed Funding,4.1585,January,2015
2015-04-08,Jolly Food Fellow,Food Customer analytics platform,,Ahmedabad,The 1947,Seed Funding,2.4951,April,2015
2015-04-08,BookMeIn,Professional Service Appointment booking service,,Mumbai,Ajmera Group of Companies,Seed Funding,3.3268,April,2015
2015-05-08,Qyk App,On-Demand App based Professional service provider,,Bangalore,"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua",Private Equity,8.317,May,2015
2015-05-08,EazyDiner,Restaurant Reservation Platform,,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,24.951,May,2015
2015-05-08,RevX,Cross-channel CRM platform,,Mumbai,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",Private Equity,33.268,May,2015
2015-05-08,ICustomMadeIt,Professional Custom creators Marketplace,,Pune,Group of Angel Investors,Seed Funding,0.41585,May,2015
2015-06-08,PickMyLaundry,on-Demand Washing & Dry-Cleaning,,New Delhi,GHV Accelerator,Seed Funding,0.8317,June,2015
2015-06-08,Belita,On-Demand Beauty Service,,Mumbai,"India Quotient, LetsVenture investors, Lead Angels",Seed Funding,3.3268,June,2015
2015-06-08,FoodTalkIndia,Online Food Community Platform,,Gurgaon,Undisclosed Investor,Seed Funding,4.1585,June,2015
2015-08-08,Vyomo,Beauty & Lifestyle Mobile Marketplace,,Bangalore,Rocket Internet,Private Equity,0.0,August,2015
2015-08-08,RollMafia,QSR Restaurant Chain,,Pune,Equentia Natural Resources,Seed Funding,1.33072,August,2015
2015-08-31,DropKaff,Online Coffee Delivery platform,,Bangalore,"Manish Singhal, P39 Capital & Others",Seed Funding,2.4951,August,2015
2015-08-31,Reveri,Language Localization Cloud platform,,Bangalore,"Aspada Investment Advisors, Qualcomm Ventures",Private Equity,33.268,August,2015
2015-01-07,Cloudcherry Analytics,CRM / Analytics platform,,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,8.317,January,2015
2015-01-07,HandyHom,Hyperlocal Electronics repair Service,,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding,5.23971,January,2015
2015-01-07,NxtGen,IT infrastructure & Data Center services,,Bangalore,"IFC, Axon Partners, Intel Capital",Private Equity,112.2795,January,2015
2015-07-01,BankBazaar,Online Financial Services,,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,499.02,July,2015
2015-07-01,Gozoomo,Used Car Marketplace,,Bangalore,SAIF Partners,Private Equity,41.585,July,2015
2015-07-01,Zenati,Internet of Things platform,,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,1.339037,July,2015
2015-03-07,CultureAlley,Language Learning App,,Jaipur,Tiger Global,Private Equity,54.0605,March,2015
2015-03-07,Gingercrush,Custom Merchandize platform,,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,8.317,March,2015
2015-04-07,Stitchwood,Custom Furniture Marketplace,,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others",Seed Funding,3.285215,April,2015
2015-06-07,Paper Boat,Ethnic Beverages manufacturer,,Gurgaon,"Sofina, Hillhouse Capital",Private Equity,249.51,June,2015
2015-07-07,Wudstay,Budget Accommodation aggregator,,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity,24.951,July,2015
2015-07-07,Liases Foras,Real Estate Rating & Analysis,,New Delhi,DMG information Asia Pacific,Private Equity,41.585,July,2015
2015-08-07,Saavn,Music Streaming App,,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",Private Equity,831.7,August,2015
2015-08-07,Flytxt,Big Data & Analytics platform,,Mumbai / Global,"Sunrise Capital GmBH, Big Data Investments B.V",Private Equity,91.487,August,2015
2015-08-07,Axtria,Big Data & Analytics platform,,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,249.51,August,2015
2015-08-07,33Coupons,Coupon Aggregator Platform,,Kanpur,Not Disclosed,Seed Funding,0.0,August,2015
2015-08-07,Hopping Chef,Online Food-Tech Platform,,Mumbai,Mirah Hospitality,Seed Funding,3.90899,August,2015
2015-08-07,Collectabillia,Celebrity Fashion Brand,,Bangalore,Accel Partners,Private Equity,62.3775,August,2015
2015-08-07,Lendingkart,Online Finance lending platform,,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity,83.17,August,2015
2015-08-07,Lybrat,Healthcare Mobile App,,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,84.8334,August,2015
2015-08-07,Zoomcar,Self-driven vehicle rental,,Bangalore,"Sequoia Capital, Empire Angels, NGP",Private Equity,91.487,August,2015
2015-09-07,News in shorts,News Aggregator mobile app,,Noida,Tiger Global,Private Equity,0.0,September,2015
2015-09-07,Blueston,Online Jewellery Store,,Bangalore,"IvyCap Ventures, Accel Partners, Dragoneer Investment Group",Private Equity,134.7354,September,2015
2015-09-07,Shopsity,Fashion Info Aggregator App,,Gurgaon," Sandeep Aggarwal, Teruhide Sato",Seed Funding,0.0,September,2015
2015-09-07,Notesgen,Online Study Notes Marketplace,,New Delhi,"Rajeev Saraf, Arvind Jha, R. Satya Narayanan",Seed Funding,0.0,September,2015
2015-10-07,Infinity Assuranc,Warranty Programs Service Administration,,New Delhi,Indian Angel Network,Seed Funding,4.9902,October,2015
2015-10-07,Footprints Education,Pre-School Chain,,Gurgaon,"LetsVenture, Kumar Bansal, Kshitij Jain",Seed Funding,5.697145,October,2015
2015-10-07,Loylty Rewards,Premium Loyalty Rewards Point Management,,Mumbai,IndianIdeas.com,Private Equity,160.93395,October,2015
2015-07-13,Ameyo,Contact Center Software Platform,,Gurgaon,Forum Synergies PE Fund,Private Equity,41.585,July,2015
2015-07-13,Mamagoto,Casual Dining restaurant Chain,,New Delhi,Goldman Sachs,Private Equity,83.17,July,2015
2015-07-13,Satvacart,Online Grocery Delivery,,Gurgaon,Palaash Ventures,Seed Funding,0.0,July,2015
2015-07-14,MySmartPric,Online comparison engine,,Hyderabad,"Accel Partners, Helion Venture Partners",Private Equity,83.17,July,2015
2015-07-14,Zenify,Residential Rental management platform,,Bangalore,Atul Jalan,Seed Funding,0.0,July,2015
2015-07-14,Boxmyspac,Physical Storage warehouses,,Mumbai,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,",Seed Funding,2.4951,July,2015
2015-07-14,HackerRank,Tech Recruitment platform,,Bangalore,HR Technology fund,Private Equity,62.3775,July,2015
2015-07-14,WickedRid,Bike Rental Platform,,Bangalore,Undisclosed,Seed Funding,6.57043,July,2015
2015-07-14,WoWexpress,Tech enabled logistics platform,,Mumbai,Tamarind Family Private Trust,Seed Funding,4.1585,July,2015
2015-07-15,Oyo Rooms,Budget Hotel Accommodation,,Gurgaon,"Softbank, Sequoia Capital",Private Equity,831.7,July,2015
2015-07-15,Mobikon,Restaurant customer engagement platform,,Pune,Jungle Ventures,Private Equity,2.4951,July,2015
2015-07-15,Roadrunnr,Hyper local logistics platform,,Bangalore,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",Private Equity,91.487,July,2015
2015-07-16,Ketto,Crowd Funding Platform,,Mumbai,"Pradyumna Dalmia, Sudhir Rao & Others",Seed Funding,5.8219,July,2015
2015-07-17,QuikWallet,F&B sector Mobile Payment platform,,Mumbai,Snow Leopard Technology Ventures,Private Equity,13.3072,July,2015
2015-07-17,Omnikart,Industrial Supplies B2B ecommerce,,Mumbai,"Sumit Gandhi, Manish Gandhi",Seed Funding,0.8317,July,2015
2015-07-01,Zo Rooms,Online budget hotel chain,,New Delhi,"Tiger Global, Orios Venture Partners.",Private Equity,124.755,July,2015
2015-07-01,Innoviti,Payment Solutions platform,,Bangalore,"Catamaran Ventures, New India Investment Corporation",Private Equity,40.33745,July,2015
2015-01-07,Joy by natur,Organic Food ecommerce,,New Delhi,"Mumbai Angels, Vriddhi Fund, Others",Private Equity,8.317,January,2015
2015-07-01,Iqlect,Big Data & Analytics platform,,Bangalore,Exfinity Venture Partners,Private Equity,0.0,July,2015
2015-07-01,deGustibus,Fine Dining Restaurant Chain,,Mumbai,India Value Fund Advisors,Private Equity,249.51,July,2015
2015-03-07,Nestaway,Luxury Rental Homes,,Bangalore,"Flipkart, Tiger Global",Private Equity,106.04175,March,2015
2015-03-07,Myonsto,Online Grocers,,Ahmedabad,Jayant Bokadia,Seed Funding,2.66144,March,2015
2015-03-07,MedGenom,Clinical Genomics Provider,,Bangalore,Sequoia Capital,Private Equity,0.0,March,2015
2015-03-07,HolidayIQ,Travel information portal,,Bangalore,MakeMyTrip,Private Equity,124.755,March,2015
2015-03-07,Fitternity,Fitness Marketplace,,Mumbai,Exfinity Venture Partners,Private Equity,8.317,March,2015
2015-03-07,Quikr,Online & Mobile classified listings,,Mumbai,"AB Kinnevik, Falcon Edge Capital, Coatue Management",Private Equity,499.02,March,2015
2015-04-07,BroE,Real Estate Broker network App,,Gurgaon,Lightspeed India,Private Equity,8.317,April,2015
2015-05-07,CredR,Used Bikes Marketplace,,Mumbai,Fidelity Growth Partners,Private Equity,124.755,May,2015
2015-07-07,ManageMySpa,Spa & Salon Management Software,,Hyderabad,Accel Partners,Private Equity,49.902,July,2015
2015-08-07,Pepperfry,Online home d\\xc3\\xa9cor marketplace,,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity,831.7,August,2015
2015-08-07,Flipkart,Online Marketplace,,Bangalore,Steadview Capital and existing investors,Private Equity,5821.9,August,2015
2015-08-07,Opinio,Hyperlocal food & grocery store,,Bangalore,"Accel Partners, Traxcn Labs & Others",Seed Funding,10.8121,August,2015
2015-08-07,Zoctr,Health-Tech platform,,Mumbai,"Sandeep Parwal, Krishan Gupta & Others",Seed Funding,8.317,August,2015
